iter	Passed	Remaining
452	18691	22569
453	18732	22528
454	18774	22488
455	18817	22449
456	18860	22409
457	18882	22345
458	18911	22289
459	18954	22250
460	18997	22211
461	19013	22140
462	19056	22102
463	19104	22068
464	19141	22022
465	19184	21984
466	19243	21962
467	19285	21922
468	19327	21882
469	19371	21844
470	19418	21810
471	19463	21772
472	19519	21747
473	19562	21708
474	19605	21669
475	19622	21601
476	19666	21562
477	19711	21525
478	19755	21487
479	19799	21449
480	19842	21410
481	19865	21349
482	19910	21312
483	19952	21271
484	19974	21210
485	20016	21169
486	20059	21130
487	20104	21093
488	20132	21038
489	20174	20997
490	20216	20957
491	20259	20918
492	20302	20878
493	20344	20838
494	20389	20801
495	20436	20766
496	20479	20726
497	20494	20659
498	20537	20619
499	20580	20580
500	20622	20540
501	20665	20501
502	20687	20440
503	20731	20402
504	20773	20361
505	20817	20323
506	20864	20288
507	20872	20215
508	20915	20175
509	20958	20136
510	21001	20097
511	21044	20058
512	21060	19992
513	21103	19954
514	21146	19915
515	21190	19875
516	21232	19835
517	21274	19796
518	21317	19756
519	21363	19720
520	21373	19650
521	21418	19613
522	21464	19576
523	21507	19537
524	21551	19498
525	21593	19458
526	21636	19419
527	21679	19380
528	21723	19341
529	21766	19302
530	21810	19263
531	21852	19223
532	21895	19184
533	21938	19144
534	21980	19104
535	22009	19053
536	22052	19013
537	22094	18973
538	22139	18935
539	22182	18895
540	22224	18855
541	22267	18816
542	22310	18777
543	22338	18725
544	22383	18686
545	22430	18650
546	22476	18613
547	22518	18574
548	22562	18535
549	22635	18519
550	22710	18506
551	22750	18464
552	22792	18423
553	22835	18384
554	22879	18344
555	22907	18293
556	22950	18253
557	22986	18207
558	23029	18168
559	23071	18127
560	23115	18088
561	23159	18049
562	23203	18010
563	23244	17969
564	23267	17913
565	23309	17873
566	23352	17833
567	23398	17795
568	23454	17766
569	23500	17728
570	23542	17688
571	23585	17647
572	23628	17607
573	23643	17547
574	23685	17507
575	23728	17467
576	23771	17426
577	23814	17387
578	23857	17347
579	23910	17314
580	23952	17274
581	23994	17233
582	24036	17192
583	24078	17151
584	24121	17111
585	24165	17072
586	24180	17013
587	24222	16972
588	24245	16918
589	24287	16877
590	24330	16837
591	24375	16799
592	24421	16761
593	24463	16721
594	24508	16681
595	24546	16638
596	24587	16597
597	24629	16556
598	24672	16517
599	24715	16477
600	24758	16436
601	24793	16391
602	24836	16351
603	24884	16315
604	24906	16261
605	24948	16220
606	24990	16180
607	25034	16140
608	25075	16099
609	25119	16060
610	25163	16020
611	25185	15967
612	25200	15909
613	25241	15868
614	25284	15828
615	25328	15789
616	25373	15750
617	25416	15710
618	25460	15671
619	25482	15618
620	25528	15579
621	25571	15540
622	25600	15491
623	25642	15451
624	25684	15410
625	25728	15371
626	25771	15331
627	25813	15290
628	25856	15250
629	25900	15211
630	25944	15171
631	25986	15131
632	26028	15090
633	26064	15046
634	26106	15006
635	26149	14966
636	26192	14925
637	26235	14885
638	26277	14845
639	26319	14804
640	26361	14764
641	26407	14725
642	26452	14686
643	26494	14646
644	26539	14607
645	26584	14568
646	26626	14527
647	26669	14487
648	26716	14449
649	26759	14408
650	26801	14368
651	26844	14327
652	26872	14280
653	26895	14228
654	26939	14189
655	26981	14148
656	27023	14108
657	27065	14067
658	27109	14027
659	27151	13987
660	27197	13948
661	27240	13908
662	27282	13867
663	27324	13826
664	27368	13787
665	27411	13746
666	27455	13707
667	27498	13666
668	27513	13613
669	27558	13573
670	27580	13523
671	27622	13482
672	27665	13442
673	27708	13402
674	27725	13349
675	27767	13308
676	27873	13298
677	27922	13261
678	27971	13223
679	27987	13170
680	28031	13130
681	28090	13097
682	28163	13071
683	28219	13037
684	28264	12997
685	28294	12951
686	28348	12915
687	28400	12879
688	28460	12846
689	28508	12808
690	28555	12769
691	28634	12744
692	28696	12712
693	28742	12673
694	28784	12632
695	28835	12594
696	28882	12555
697	28925	12515
698	28969	12474
699	29004	12430
700	29048	12390
701	29090	12349
702	29134	12308
703	29177	12267
704	29224	12228
705	29267	12187
706	29313	12148
707	29356	12107
708	29401	12067
709	29431	12021
710	29474	11980
711	29517	11939
712	29547	11893
713	29562	11841
714	29609	11802
715	29653	11761
716	29696	11721
717	29744	11682
718	29789	11642
719	29826	11599
720	29872	11559
721	29920	11520
722	29970	11482
723	29987	11431
724	30033	11392
725	30053	11342
726	30100	11303
727	30132	11258
728	30179	11218
729	30227	11179
730	30276	11141
731	30321	11101
732	30366	11061
733	30411	11020
734	30453	10979
735	30489	10936
736	30532	10895
737	30577	10855
738	30621	10814
739	30665	10774
740	30709	10733
741	30751	10692
742	30793	10651
743	30836	10610
744	30878	10569
745	30922	10528
746	30968	10488
747	31012	10447
748	31054	10406
749	31096	10365
750	31139	10324
751	31181	10283
752	31225	10242
753	31268	10201
754	31311	10160
755	31359	10121
756	31404	10081
757	31446	10039
758	31489	9998
759	31504	9948
760	31549	9908
761	31610	9873
762	31653	9832
763	31696	9791
764	31713	9741
765	31756	9701
766	31799	9660
767	31841	9618
768	31884	9577
769	31927	9536
770	31968	9495
771	32012	9454
772	32056	9413
773	32099	9372
774	32144	9332
775	32186	9290
776	32216	9246
777	32258	9205
778	32302	9164
779	32331	9119
780	32379	9079
781	32423	9038
782	32465	8997
783	32504	8955
784	32527	8908
785	32578	8870
786	32626	8830
787	32668	8789
788	32711	8748
789	32755	8707
790	32797	8665
791	32841	8625
792	32883	8583
793	32927	8543
794	33020	8514
795	33086	8479
796	33134	8439
797	33179	8398
798	33223	8357
799	33270	8317
800	33311	8275
801	33327	8227
802	33373	8187
803	33400	8142
804	33443	8101
805	33486	8059
806	33529	8018
807	33590	7981
808	33633	7940
809	33677	7899
810	33721	7858
811	33763	7817
812	33806	7775
813	33828	7729
814	33843	7682
815	33895	7643
816	33937	7601
817	33981	7560
818	34023	7519
819	34066	7477
820	34113	7437
821	34135	7391
822	34150	7344
823	34193	7303
824	34236	7262
825	34278	7220
826	34323	7180
827	34370	7139
828	34414	7098
829	34456	7057
830	34499	7016
831	34543	6975
832	34558	6928
833	34604	6887
834	34647	6846
835	34690	6805
836	34734	6764
837	34763	6720
838	34806	6679
839	34848	6637
840	34891	6596
841	34906	6550
842	34985	6515
843	35013	6471
844	35056	6430
845	35077	6385
846	35122	6344
847	35165	6303
848	35209	6262
849	35253	6221
850	35296	6180
851	35325	6136
852	35375	6096
853	35419	6055
854	35463	6014
855	35505	5972
856	35548	5931
857	35591	5890
858	35637	5849
859	35653	5804
860	35681	5760
861	35724	5719
862	35767	5677
863	35815	5637
864	35836	5593
865	35879	5551
866	35894	5506
867	35938	5465
868	35967	5421
869	36010	5380
870	36052	5339
871	36095	5298
872	36138	5257
873	36183	5216
874	36226	5175
875	36269	5134
876	36293	5090
877	36336	5048
878	36380	5007
879	36409	4964
880	36453	4923
881	36497	4882
882	36541	4841
883	36584	4800
884	36630	4759
885	36673	4718
886	36716	4677
887	36760	4636
888	36802	4595
889	36845	4553
890	36889	4512
891	36932	4471
892	36980	4431
893	37022	4389
894	37065	4348
895	37109	4307
896	37152	4266
897	37181	4223
898	37203	4179
899	37246	4138
900	37291	4097
901	37335	4056
902	37381	4015
903	37425	3974
904	37478	3934
905	37521	3892
906	37564	3851
907	37608	3810
908	37666	3770
909	37710	3729
910	37754	3688
911	37797	3647
912	37840	3605
913	37883	3564
914	37925	3523
915	37969	3481
916	38012	3440
917	38055	3399
918	38098	3357
919	38157	3318
920	38252	3281
921	38303	3240
922	38355	3199
923	38399	3158
924	38442	3116
925	38497	3076
926	38540	3035
927	38583	2993
928	38633	2952
929	38679	2911
930	38722	2869
931	38768	2828
932	38813	2787
933	38855	2745
934	38899	2704
935	38942	2662
936	38985	2621
937	39028	2579
938	39071	2538
939	39114	2496
940	39156	2455
941	39200	2413
942	39243	2372
943	39288	2330
944	39333	2289
945	39381	2247
946	39430	2206
947	39473	2165
948	39515	2123
949	39559	2082
950	39604	2040
951	39647	1999
952	39692	1957
953	39734	1915
954	39756	1873
955	39801	1831
956	39844	1790
957	39893	1748
958	39925	1706
959	39967	1665
960	40011	1623
961	40053	1582
962	40097	1540
963	40141	1499
964	40185	1457
965	40227	1415
966	40272	1374
967	40319	1332
968	40364	1291
969	40410	1249
970	40454	1208
971	40497	1166
972	40540	1124
973	40583	1083
974	40629	1041
975	40675	1000
976	40718	958
977	40761	916
978	40806	875
979	40849	833
980	40892	792
981	40935	750
982	40979	708
983	41025	667
984	41071	625
985	41114	583
986	41158	542
987	41202	500
988	41244	458
989	41288	417
990	41335	375
991	41383	333
992	41426	292
993	41469	250
994	41512	208
995	41555	166
996	41599	125
997	41642	83
998	41688	41
999	41731	0
