iter	Logloss
250	0.3822900349
251	0.3819725278
252	0.3815218944
253	0.3814091785
254	0.3812349645
255	0.3808467332
256	0.3803049492
257	0.3799169367
258	0.3796495989
259	0.3792399962
260	0.3790595719
261	0.378591029
262	0.3781745919
263	0.3781429394
264	0.3780733552
265	0.3778494669
266	0.3776313118
267	0.3772707537
268	0.3771047028
269	0.376925482
270	0.3767460986
271	0.3764244468
272	0.3763016895
273	0.3758392995
274	0.3755743699
275	0.3752820106
276	0.3750576497
277	0.374982215
278	0.3747948154
279	0.3742268829
280	0.3739668832
281	0.3734530666
282	0.3732860546
283	0.3732192457
284	0.3726496359
285	0.3726102268
286	0.372506241
287	0.3723680993
288	0.3720021174
289	0.3717626962
290	0.3717178921
291	0.3715180595
292	0.3711855285
293	0.3710510029
294	0.3706016855
295	0.370451864
296	0.3700714959
297	0.3696411454
298	0.3695101988
299	0.3693363937
300	0.369126809
301	0.3688579462
302	0.3686023069
303	0.3683129598
304	0.3680508852
305	0.3675803971
306	0.3673496481
307	0.3671176147
308	0.3667916144
309	0.3667094751
310	0.3665326405
311	0.366205064
312	0.3660859728
313	0.3659483611
314	0.3659347435
315	0.3658031393
316	0.365572084
317	0.3653775281
318	0.3651742543
319	0.364947561
320	0.3648568413
321	0.364675767
322	0.3643805284
323	0.3641685608
324	0.3638213269
325	0.36363119
326	0.3634821438
327	0.3632708265
328	0.3631501915
329	0.362823919
330	0.362823147
331	0.3627701349
332	0.3624954119
333	0.3623257628
334	0.3621933788
335	0.3618601117
336	0.361721561
337	0.3614252094
338	0.3612420677
339	0.361073548
340	0.3610402955
341	0.3608242648
342	0.3606152955
343	0.3604803157
344	0.3604509935
345	0.3603434874
346	0.3602150231
347	0.3599107965
348	0.3596533851
349	0.3592849846
350	0.3590161439
351	0.3589420248
352	0.3588294774
353	0.3583728318
354	0.358261998
355	0.3577979248
356	0.3575993898
357	0.3574201909
358	0.3572150944
359	0.357137234
360	0.3569838638
361	0.3569789665
362	0.356476369
363	0.3563925893
364	0.3562449974
365	0.3558469351
366	0.3558149815
367	0.3555055535
368	0.3554845428
369	0.3553989352
370	0.3551306355
371	0.3547103299
372	0.3546585517
373	0.3545283812
374	0.3542613315
375	0.3539848756
376	0.3537449264
377	0.3536245155
378	0.3534392595
379	0.3530407131
380	0.3530326629
381	0.3527655856
382	0.3525841251
383	0.3524703429
384	0.3524542725
385	0.3523404976
386	0.3521782669
387	0.3519836844
388	0.3517982267
389	0.3515944693
390	0.3511700214
391	0.3511384635
392	0.350881044
393	0.3507506052
394	0.350620083
395	0.3505975086
396	0.3505469814
397	0.3505468576
398	0.3501383595
399	0.3499463625
400	0.3499178909
401	0.3498316479
402	0.3496453515
403	0.3495544206
404	0.3493010146
405	0.3489551386
406	0.3486717706
407	0.3485832443
408	0.3483707335
409	0.3481110276
410	0.3480614935
411	0.3478690128
412	0.3477360665
413	0.3476249096
414	0.3473916152
415	0.3471773739
416	0.3471498805
417	0.34714514
418	0.3470301576
419	0.3467717386
420	0.3463968951
421	0.3463059655
422	0.3459949232
423	0.3457554634
424	0.345743855
425	0.3455968702
426	0.3455074988
427	0.3454049463
428	0.3449958398
429	0.3447513871
430	0.3445124441
431	0.3445042262
432	0.3443641609
433	0.3443418773
434	0.3443209064
435	0.3441672192
436	0.3438920781
437	0.3436640779
438	0.3435649627
439	0.3433336938
440	0.3430121331
441	0.3426707881
442	0.3425253569
443	0.3424082007
444	0.342408195
445	0.3423430204
446	0.3420639495
447	0.3420194096
448	0.3419470492
449	0.3418156833
450	0.3417861293
451	0.3417386223
452	0.3414886255
453	0.3411151251
454	0.3408150222
455	0.3406487835
456	0.3405588144
457	0.3405576664
458	0.3405535426
459	0.3403610621
460	0.3401910833
461	0.3401715643
462	0.3400089562
463	0.3398702808
464	0.3397422895
465	0.3395728574
466	0.3394361577
467	0.3392102887
468	0.3388963875
469	0.3388499016
470	0.3386892944
471	0.3384334446
472	0.3381071109
473	0.3378810797
474	0.3377178725
475	0.3377178724
476	0.3375049901
477	0.3373612498
478	0.3373504454
479	0.3370805804
480	0.3368280792
481	0.3367875583
482	0.3366401718
483	0.3363260844
484	0.3362631287
485	0.3361331207
486	0.3360269249
487	0.3357811386
488	0.3357749945
489	0.3356088127
490	0.3355774765
491	0.3353927349
492	0.3352601035
493	0.33513332
494	0.3350518448
495	0.3347656683
496	0.3347204755
497	0.3347144404
498	0.3345195492
499	0.3343853939
500	0.3343287967
501	0.3342168245
502	0.3342128248
503	0.3340224398
504	0.3337162184
505	0.3336175528
506	0.3333574074
507	0.3333574069
508	0.3331505084
509	0.3330326035
510	0.3329341958
511	0.3328367198
512	0.3328359282
513	0.3325187925
514	0.3324320064
515	0.3322370062
516	0.3321075949
517	0.3320375712
518	0.3319259136
519	0.3317031127
520	0.3317031122
521	0.3314594618
522	0.3312930514
523	0.3311635333
524	0.3308783449
525	0.3307899135
526	0.3306385972
527	0.3304356485
528	0.3302217998
529	0.3299800572
530	0.329946437
531	0.3298420819
532	0.3297270812
533	0.3295595908
534	0.3294797379
535	0.329443329
536	0.3294049959
537	0.3293178132
538	0.3292162774
539	0.3290128145
540	0.3289310366
541	0.3286668491
542	0.3284663437
543	0.3283793684
544	0.328333023
545	0.3280801701
546	0.327949162
547	0.3278621032
548	0.3277346452
549	0.3275702717
550	0.3273823961
551	0.3273242273
552	0.3272875345
553	0.3271484172
554	0.3269980753
555	0.3269801245
556	0.3267211931
557	0.3267156134
558	0.3264768335
559	0.3262234472
560	0.3259618172
561	0.3258391646
562	0.3255064901
563	0.3252747506
564	0.3252708503
565	0.3249932354
566	0.3248224486
567	0.3247478334
568	0.3246881953
569	0.3245777194
570	0.3244481522
571	0.3243472069
572	0.3242683235
573	0.324257106
574	0.3238350664
575	0.3237771376
576	0.3237146539
577	0.3236035267
578	0.3234917593
579	0.3233772062
580	0.3232796798
581	0.3229242069
582	0.322815105
583	0.3227616521
584	0.3226580929
585	0.3223769218
586	0.3223761502
587	0.3222036027
588	0.3222028394
589	0.322117076
590	0.322104872
591	0.3219392917
592	0.3217066735
593	0.3215828684
594	0.3213942989
595	0.3213381387
596	0.3211690472
597	0.3211071461
598	0.3210026096
599	0.320703612
600	0.3206300379
601	0.3205975963
602	0.3203607435
603	0.3202974143
604	0.3202068445
605	0.3200494245
606	0.3197461423
607	0.3195772133
608	0.3194073221
609	0.3193329039
610	0.319230005
611	0.3191882503
612	0.3191867228
613	0.3190725039
614	0.3187527865
615	0.3186793252
616	0.3186193097
617	0.3184362987
618	0.318346498
619	0.3183422142
620	0.3181374701
621	0.3179194842
622	0.3179194581
623	0.3177729704
624	0.3173204298
625	0.3171612748
626	0.3169542464
627	0.3167831111
628	0.3166505995
629	0.3165597008
630	0.3165051948
631	0.316395139
632	0.3162177063
633	0.3161988074
634	0.3160349665
635	0.3158581173
636	0.3155286861
637	0.3154590286
638	0.3152517566
639	0.3150520819
640	0.3149796857
641	0.3148141341
642	0.3147516131
643	0.3147426226
644	0.3144938099
645	0.3141969878
646	0.3139789763
647	0.313971787
648	0.3138595729
649	0.3138365422
650	0.3138185999
651	0.3136679968
652	0.3136577605
653	0.3136091555
654	0.3131952498
655	0.313048111
656	0.3129307706
657	0.3128094197
658	0.3126202325
659	0.3125439964
660	0.3124184035
661	0.3123082415
662	0.3122271655
663	0.3120986462
664	0.3119677856
665	0.3117791225
666	0.3116362281
667	0.3115850156
668	0.3115754961
669	0.3114047917
670	0.3113953605
671	0.3111875364
672	0.3109891527
673	0.3109386052
674	0.3109293266
675	0.3108015559
676	0.3106805665
677	0.3106429936
678	0.3106363532
679	0.3106342535
680	0.3105830989
681	0.3104183166
682	0.3102731968
683	0.3101630017
684	0.3101156155
685	0.3100979016
686	0.3099102342
687	0.3097753748
688	0.3096224085
689	0.3096050651
690	0.3094541455
691	0.3093858842
692	0.3091686761
693	0.3090828467
694	0.3090240031
695	0.3088014476
696	0.3086118843
697	0.3084421378
698	0.3084331062
699	0.3082991251
700	0.3081595664
701	0.3080216187
702	0.307718747
703	0.3074233038
704	0.3072027124
705	0.3070977728
706	0.3069201056
707	0.3067231077
708	0.3066088378
709	0.3065253117
710	0.3064883922
711	0.3063604243
712	0.3063250257
713	0.306316269
714	0.3062526078
715	0.30603248
716	0.3059162058
717	0.3058163686
718	0.3057674456
719	0.3057431897
720	0.3055907028
721	0.305541283
722	0.3052070624
723	0.3051985597
724	0.3050356042
725	0.3050348995
726	0.3049981645
727	0.3049233738
728	0.3047580622
729	0.3045586284
730	0.3045135545
731	0.3044637247
732	0.3044041049
733	0.3041172895
734	0.3040536037
735	0.304053602
736	0.3039220168
737	0.3038063702
738	0.3035998772
739	0.3033854664
740	0.3032464234
741	0.3031934544
742	0.3030927142
743	0.3029237199
744	0.3026472062
745	0.3023173135
746	0.3021739378
747	0.3020298158
748	0.301863718
749	0.3016905328
750	0.3015773757
751	0.3015300591
752	0.3012231848
753	0.3010318797
754	0.3008245852
755	0.300574924
756	0.3004327369
757	0.300247671
758	0.3000671185
759	0.3000334856
760	0.2998546188
761	0.2997377253
762	0.2995113237
763	0.2994412371
764	0.2994332173
765	0.299352849
766	0.2990655298
767	0.2990396505
768	0.2988205033
769	0.2986585263
770	0.298586134
771	0.2984955335
772	0.2983220416
773	0.2982726874
774	0.2981934804
775	0.298091182
776	0.2980834377
777	0.2980533048
778	0.2977747306
779	0.2977467708
780	0.2975629886
781	0.2974869398
782	0.2972488826
783	0.297238519
784	0.2972309637
785	0.2971324116
786	0.297086205
787	0.2969064892
788	0.2967910416
789	0.2965155878
790	0.2964968891
791	0.2964022523
792	0.2962538846
793	0.296159403
794	0.295988112
795	0.295885798
796	0.2957426843
797	0.2957297172
798	0.2956005448
799	0.2955598121
800	0.2954201665
801	0.2954128501
802	0.2953430817
803	0.2952722566
804	0.295165879
805	0.2949695731
806	0.2946324729
807	0.2943462435
808	0.2942332978
809	0.2940666651
810	0.2940370963
811	0.2938702601
812	0.2936938796
813	0.2936862012
814	0.2936856036
815	0.29363463
816	0.2935828656
817	0.2935086537
818	0.2934227906
819	0.2934082487
820	0.2931138977
821	0.293107016
822	0.2931001998
823	0.2929894729
824	0.2926571274
825	0.2925921558
826	0.2925701143
827	0.2925141355
828	0.2924148857
829	0.2920288566
830	0.2919550268
831	0.2918942824
832	0.2918877079
833	0.2918725686
834	0.2916108067
835	0.2915158267
836	0.2912898609
837	0.2912834791
838	0.2912649972
839	0.2910518804
840	0.2909464952
841	0.2909403241
842	0.2908009834
843	0.2907814621
844	0.2906457156
845	0.2906391351
846	0.2904541611
847	0.2903917159
848	0.2902745659
849	0.2902598145
850	0.2902396596
851	0.2902244184
852	0.2901930914
853	0.2901750877
854	0.2900657989
855	0.2900202503
856	0.289916107
857	0.2897623268
858	0.2897494628
859	0.2897489253
860	0.2897431886
861	0.2897230452
862	0.2896769438
863	0.2896558488
864	0.2896503579
865	0.2895097216
866	0.2895091978
867	0.2893811606
868	0.2893757198
869	0.2893170849
870	0.2891190268
871	0.2888693819
872	0.2888209667
873	0.288773245
874	0.2886191159
875	0.2885307996
876	0.2885303005
877	0.2884173275
878	0.2883268137
879	0.2882772508
880	0.2882636887
881	0.2881861557
882	0.2880131273
883	0.2876218756
884	0.2874589565
885	0.2874190477
886	0.2873550482
887	0.2873081855
888	0.287207169
889	0.2869887931
890	0.2867828062
891	0.2867583646
892	0.2867493082
893	0.2865935292
894	0.2864111681
895	0.2863791987
896	0.2862329591
897	0.2862252579
898	0.2862200798
899	0.2861643979
900	0.2861332197
901	0.2859621047
902	0.2859006046
903	0.2858733012
904	0.285438465
905	0.2853178274
906	0.2851672152
907	0.2850848764
908	0.2850640433
909	0.2848094687
910	0.2846983424
911	0.2845282696
912	0.2845052037
913	0.284442722
914	0.2843920572
915	0.2842991057
916	0.2841268987
917	0.2841160196
918	0.2837764185
919	0.2836923878
920	0.2835980609
921	0.2835911647
922	0.2833638385
923	0.2832728573
924	0.2832334702
925	0.2830614966
926	0.2830375768
927	0.2829057206
928	0.2828928382
929	0.2828008557
930	0.282765171
931	0.2827236584
932	0.2825751106
933	0.2825526131
934	0.2825096988
935	0.2823323756
936	0.2822590128
937	0.2822020013
938	0.2821718557
939	0.282059343
940	0.2817621066
941	0.2816372912
942	0.2815317083
943	0.281379437
944	0.2812131902
945	0.2812032177
946	0.2811974284
947	0.2809753099
948	0.2808527627
949	0.280840087
950	0.2807176737
951	0.2805874664
952	0.2805509042
953	0.280518538
954	0.2805144621
955	0.2803351697
956	0.2803141132
957	0.2799582376
958	0.2799542307
959	0.2798030859
960	0.279778221
961	0.2797431301
962	0.2794774026
963	0.2793409469
964	0.2792564967
965	0.2790013079
966	0.278932535
967	0.2786841595
968	0.2785644229
969	0.2784144638
970	0.2782926834
971	0.2780808683
972	0.277942789
973	0.2778685363
974	0.2777329653
975	0.2776076956
976	0.277584487
977	0.2775374409
978	0.2773488903
979	0.2772765181
980	0.277255091
981	0.2772495428
982	0.2770253707
983	0.2769546687
984	0.2767569016
985	0.2767063
986	0.2766359891
987	0.2763955878
988	0.2763326965
989	0.276293759
990	0.2762012415
991	0.276102433
992	0.2760389108
993	0.2759917367
994	0.2758023242
995	0.2756833553
996	0.2756458249
997	0.275557697
998	0.2753724202
999	0.2753163366
